dates,total_confirmed,nb_test,isolement,suspects,retablis,deces,importe,autochtone,nb_cas_journalier,nb_tests_journalier,origine_encours,cas_actifs
2020-03-04 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-03-05 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-06 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-07 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-08 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-03-09 00:00:00,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0
2020-03-10 00:00:00,6.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0,0.0
2020-03-11 00:00:00,7.0,178.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,0.0,0.0
2020-03-12 00:00:00,13.0,249.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,42.0,0.0,0.0
2020-03-13 00:00:00,16.0,291.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,70.0,0.0,0.0
2020-03-14 00:00:00,18.0,361.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,31.0,0.0,0.0
2020-03-15 00:00:00,20.0,392.0,961.0,0.0,0.0,0.0,2.0,1.0,2.0,70.0,0.0,0.0
2020-03-16 00:00:00,24.0,459.0,3259.0,0.0,0.0,0.0,2.0,2.0,4.0,67.0,0.0,0.0
2020-03-17 00:00:00,29.0,529.0,4481.0,0.0,0.0,0.0,3.0,2.0,5.0,70.0,0.0,0.0
2020-03-18 00:00:00,39.0,615.0,4481.0,0.0,1.0,1.0,9.0,1.0,10.0,86.0,0.0,37.0
2020-03-19 00:00:00,54.0,694.0,4481.0,0.0,1.0,1.0,11.0,4.0,15.0,79.0,0.0,52.0
2020-03-20 00:00:00,60.0,820.0,4481.0,0.0,1.0,1.0,5.0,1.0,6.0,126.0,0.0,58.0
2020-03-21 00:00:00,75.0,955.0,4481.0,0.0,1.0,3.0,13.0,2.0,15.0,135.0,0.0,71.0
2020-03-22 00:00:00,89.0,1087.0,4481.0,0.0,1.0,3.0,6.0,8.0,14.0,132.0,0.0,85.0
2020-03-23 00:00:00,114.0,1225.0,4481.0,0.0,1.0,3.0,15.0,10.0,25.0,138.0,0.0,110.0
2020-03-24 00:00:00,173.0,1454.0,4481.0,0.0,1.0,5.0,15.0,10.0,59.0,229.0,0.0,167.0
2020-03-25 00:00:00,197.0,1763.0,4481.0,0.0,1.0,6.0,15.0,10.0,24.0,309.0,0.0,190.0
2020-03-26 00:00:00,227.0,2045.0,4481.0,0.0,1.0,6.0,15.0,10.0,30.0,282.0,0.0,220.0
2020-03-27 12:00:00,279.0,2769.0,4481.0,0.0,2.0,8.0,15.0,10.0,51.0,724.0,0.0,269.0
2020-03-28 12:00:00,312.0,3305.0,4481.0,11.0,5.0,8.0,132.0,153.0,34.0,536.0,27.0,299.0
2020-03-29 11:00:00,362.0,3752.0,18491.0,11.0,5.0,9.0,132.0,153.0,50.0,447.0,27.0,348.0
2020-03-30 12:00:00,394.0,4194.0,18560.0,26.0,5.0,10.0,159.0,216.0,32.0,442.0,18.0,379.0
2020-03-31 12:00:00,423.0,4744.0,18634.0,26.0,5.0,12.0,163.0,233.0,30.0,550.0,27.0,406.0
2020-04-01 12:00:00,455.0,5130.0,18882.0,30.0,5.0,14.0,169.0,253.0,33.0,674.0,34.0,436.0
2020-04-02 22:00:00,495.0,5736.0,19025.0,33.0,5.0,18.0,172.0,281.0,40.0,606.0,42.0,472.0
2020-04-03 00:00:00,553.0,6485.0,19174.0,39.0,5.0,19.0,176.0,316.0,58.0,749.0,61.0,529.0
2020-04-04 00:00:00,574.0,7145.0,19122.0,59.0,5.0,22.0,178.0,341.0,21.0,658.0,55.0,547.0
2020-04-05 22:00:00,596.0,7725.0,19122.0,67.0,25.0,22.0,178.0,382.0,22.0,580.0,55.0,549.0
2020-04-05 23:00:00,623.0,8274.0,19122.0,67.0,25.0,23.0,178.0,382.0,27.0,549.0,55.0,575.0
2020-04-06 23:00:00,628.0,8878.0,19122.0,67.0,25.0,24.0,178.0,382.0,5.0,604.0,55.0,579.0
2020-04-07 23:00:00,643.0,9570.0,19122.0,78.0,25.0,25.0,178.0,382.0,33.0,692.0,55.0,593.0
2020-04-08 23:00:00,671.0,10087.0,19122.0,85.0,43.0,25.0,178.0,382.0,28.0,571.0,55.0,603.0
2020-04-09 23:00:00,685.0,10676.0,19122.0,89.0,43.0,28.0,224.0,454.0,14.0,589.0,55.0,614.0
2020-04-10 23:00:00,707.0,11238.0,19122.0,89.0,43.0,31.0,224.0,454.0,22.0,562.0,55.0,614.0
2020-04-11 23:00:00,726.0,11825.0,19122.0,119.0,43.0,34.0,224.0,454.0,19.0,587.0,55.0,614.0
2020-04-12 23:00:00,747.0,12415.0,19122.0,123.0,43.0,34.0,224.0,454.0,21.0,590.0,55.0,614.0
2020-04-13 23:00:00,780.0,13137.0,19122.0,126.0,43.0,35.0,224.0,539.0,33.0,722.0,55.0,702.0
2020-04-14 23:00:00,822.0,13930.0,19122.0,129.0,43.0,37.0,227.0,582.0,42.0,793.0,13.0,742.0
2020-04-15 23:00:00,864.0,14640.0,19122.0,129.0,43.0,37.0,227.0,582.0,42.0,710.0,13.0,742.0
2020-04-16 23:00:00,866.0,15332.0,19122.0,129.0,148.0,37.0,228.0,623.0,2.0,692.0,15.0,681.0
2020-04-17 23:00:00,879.0,16098.0,19122.0,129.0,148.0,38.0,228.0,623.0,13.0,766.0,15.0,681.0
2020-04-18 23:00:00,884.0,17287.0,19122.0,131.0,148.0,38.0,228.0,641.0,5.0,1189.0,15.0,698.0
2020-04-19 23:00:00,901.0,18165.0,19122.0,85.0,170.0,38.0,228.0,641.0,17.0,878.0,15.0,693.0
2020-04-20 23:00:00,909.0,18861.0,19122.0,94.0,190.0,38.0,228.0,641.0,8.0,696.0,15.0,681.0
2020-04-21 23:00:00,918.0,19411.0,19122.0,93.0,192.0,38.0,230.0,682.0,9.0,550.0,6.0,688.0
2020-04-22 23:00:00,922.0,19849.0,19122.0,90.0,194.0,38.0,230.0,682.0,4.0,438.0,6.0,690.0
2020-04-23 23:00:00,939.0,20408.0,19122.0,84.0,207.0,38.0,230.0,694.0,17.0,559.0,15.0,694.0
2020-04-24 23:00:00,949.0,20818.0,19122.0,78.0,216.0,38.0,230.0,694.0,10.0,410.0,15.0,695.0
2020-04-25 23:00:00,967.0,21081.0,19122.0,78.0,279.0,39.0,231.0,733.0,18.0,263.0,3.0,649.0
2020-04-26 23:00:00,975.0,21477.0,19122.0,76.0,279.0,40.0,231.0,733.0,8.0,396.0,3.0,656.0
2020-04-27 23:00:00,980.0,22062.0,19122.0,72.0,294.0,40.0,231.0,733.0,5.0,585.0,3.0,646.0
2020-04-28 23:00:00,994.0,22957.0,19122.0,66.0,305.0,41.0,235.0,750.0,14.0,895.0,9.0,648.0
2020-04-29 23:00:00,998.0,23526.0,19122.0,65.0,316.0,41.0,235.0,750.0,4.0,569.0,9.0,641.0
2020-04-30 23:00:00,1009.0,24055.0,19122.0,59.0,323.0,42.0,235.0,750.0,11.0,529.0,9.0,644.0
2020-05-01 23:00:00,1013.0,24406.0,19122.0,59.0,328.0,42.0,235.0,750.0,4.0,351.0,9.0,643.0
2020-05-02 23:00:00,1018.0,24853.0,19122.0,47.0,406.0,43.0,235.0,750.0,5.0,447.0,9.0,569.0
2020-05-03 23:00:00,1022.0,25165.0,19122.0,36.0,482.0,43.0,235.0,750.0,4.0,312.0,9.0,497.0
2020-05-04 23:00:00,1025.0,25555.0,19122.0,37.0,591.0,43.0,245.0,776.0,4.0,312.0,4.0,391.0
2020-05-05 23:00:00,1026.0,25967.0,19122.0,33.0,600.0,44.0,245.0,776.0,1.0,412.0,4.0,382.0
2020-05-06 23:00:00,1030.0,27420.0,19122.0,35.0,638.0,45.0,245.0,776.0,4.0,1453.0,4.0,347.0
2020-05-07 23:00:00,1032.0,29297.0,19122.0,35.0,660.0,45.0,246.0,784.0,2.0,1877.0,0.0,327.0
2020-05-08 23:00:00,1032.0,32818.0,19122.0,11.0,700.0,45.0,246.0,784.0,0.0,292.0,0.0,287.0
2020-05-09 23:00:00,1032.0,33266.0,19122.0,7.0,727.0,45.0,246.0,784.0,0.0,448.0,0.0,260.0
2020-05-10 23:00:00,1032.0,33880.0,19122.0,5.0,740.0,45.0,246.0,784.0,0.0,614.0,0.0,247.0
2020-05-11 23:00:00,1032.0,34323.0,19122.0,5.0,759.0,45.0,246.0,784.0,0.0,443.0,0.0,228.0
2020-05-12 23:00:00,1032.0,36523.0,19122.0,3.0,770.0,45.0,247.0,785.0,0.0,2200.0,0.0,217.0
2020-05-13 23:00:00,1035.0,37862.0,19122.0,3.0,802.0,45.0,247.0,785.0,3.0,1339.0,0.0,188.0
2020-05-14 23:00:00,1037.0,39778.0,19122.0,3.0,807.0,45.0,247.0,785.0,2.0,1916.0,0.0,185.0
