gouvernorat,date,cas,retablis,deces
Ariana,2020-03-02,0.0,0.0,0.0
Ariana,2020-03-03,0.0,0.0,0.0
Ariana,2020-03-04,0.0,0.0,0.0
Ariana,2020-03-05,0.0,0.0,0.0
Ariana,2020-03-06,0.0,0.0,0.0
Ariana,2020-03-07,0.0,0.0,0.0
Ariana,2020-03-08,0.0,0.0,0.0
Ariana,2020-03-09,0.0,0.0,0.0
Ariana,2020-03-10,0.0,0.0,0.0
Ariana,2020-03-11,1.0,0.0,0.0
Ariana,2020-03-12,3.0,0.0,0.0
Ariana,2020-03-13,4.0,0.0,0.0
Ariana,2020-03-14,5.0,0.0,0.0
Ariana,2020-03-15,5.0,0.0,0.0
Ariana,2020-03-16,5.0,0.0,0.0
Ariana,2020-03-17,6.0,0.0,0.0
Ariana,2020-03-18,8.0,0.0,0.0
Ariana,2020-03-19,12.0,0.0,0.0
Ariana,2020-03-20,13.0,0.0,0.0
Ariana,2020-03-21,15.0,0.0,0.0
Ariana,2020-03-22,16.0,0.0,0.0
Ariana,2020-03-23,22.0,0.0,1.0
Ariana,2020-03-24,31.0,0.0,1.0
Ariana,2020-03-25,33.0,0.0,1.0
Ariana,2020-03-26,34.0,0.0,1.0
Ariana,2020-03-27,35.0,0.0,1.0
Ariana,2020-03-28,44.0,0.0,1.0
Ariana,2020-03-29,50.0,0.0,2.0
Ariana,2020-03-30,56.0,0.0,2.0
Ariana,2020-03-31,57.0,2.0,2.0
Ariana,2020-04-01,60.0,2.0,2.0
Ariana,2020-04-02,67.0,2.0,3.0
Ariana,2020-04-03,69.0,2.0,3.0
Ariana,2020-04-04,72.0,2.0,3.0
Ariana,2020-04-05,77.0,2.0,3.0
Ariana,2020-04-06,76.0,2.0,3.0
Ariana,2020-04-07,76.0,2.0,3.0
Ariana,2020-04-08,78.0,2.0,4.0
Ariana,2020-04-09,81.0,2.0,4.0
Ariana,2020-04-10,82.0,2.0,4.0
Ariana,2020-04-11,83.0,2.0,4.0
Ariana,2020-04-12,83.0,2.0,4.0
Ariana,2020-04-13,84.0,2.0,4.0
Ariana,2020-04-14,83.0,2.0,5.0
Ariana,2020-04-15,89.0,2.0,5.0
Ariana,2020-04-16,89.0,2.0,5.0
Ariana,2020-04-17,89.0,2.0,5.0
Ariana,2020-04-18,89.0,2.0,5.0
Ariana,2020-04-19,89.0,2.0,5.0
Ariana,2020-04-20,93.0,2.0,5.0
Ariana,2020-04-21,93.0,2.0,5.0
Ariana,2020-04-22,94.0,2.0,5.0
Ariana,2020-04-23,94.0,2.0,5.0
Ariana,2020-04-24,94.0,2.0,5.0
Ariana,2020-04-25,95.0,2.0,5.0
Ariana,2020-04-26,95.0,2.0,5.0
Ariana,2020-04-27,96.0,2.0,5.0
Ariana,2020-04-28,97.0,2.0,5.0
Ariana,2020-04-29,97.0,2.0,5.0
Ariana,2020-04-30,98.0,2.0,5.0
Ariana,2020-05-01,98.0,2.0,5.0
Ariana,2020-05-02,98.0,2.0,5.0
Ariana,2020-05-03,99.0,37.0,5.0
Ariana,2020-05-04,99.0,58.0,5.0
Ariana,2020-05-05,99.0,74.0,5.0
Ariana,2020-05-06,99.0,74.0,5.0
Ariana,2020-05-07,99.0,79.0,5.0
Ariana,2020-05-08,99.0,79.0,5.0
Ariana,2020-05-09,99.0,79.0,5.0
Ariana,2020-05-10,99.0,81.0,5.0
Ariana,2020-05-11,99.0,82.0,5.0
Ariana,2020-05-12,99.0,82.0,5.0
Ariana,2020-05-13,99.0,82.0,5.0
Ariana,2020-05-14,99.0,84.0,5.0
Beja,2020-03-02,0.0,0.0,0.0
Beja,2020-03-03,0.0,0.0,0.0
Beja,2020-03-04,0.0,0.0,0.0
Beja,2020-03-05,0.0,0.0,0.0
Beja,2020-03-06,0.0,0.0,0.0
Beja,2020-03-07,0.0,0.0,0.0
Beja,2020-03-08,0.0,0.0,0.0
Beja,2020-03-09,0.0,0.0,0.0
Beja,2020-03-10,0.0,0.0,0.0
Beja,2020-03-11,0.0,0.0,0.0
Beja,2020-03-12,0.0,0.0,0.0
Beja,2020-03-13,0.0,0.0,0.0
Beja,2020-03-14,0.0,0.0,0.0
Beja,2020-03-15,0.0,0.0,0.0
Beja,2020-03-16,0.0,0.0,0.0
Beja,2020-03-17,0.0,0.0,0.0
Beja,2020-03-18,0.0,0.0,0.0
Beja,2020-03-19,0.0,0.0,0.0
Beja,2020-03-20,0.0,0.0,0.0
Beja,2020-03-21,0.0,0.0,0.0
Beja,2020-03-22,0.0,0.0,0.0
Beja,2020-03-23,0.0,0.0,0.0
Beja,2020-03-24,0.0,0.0,0.0
Beja,2020-03-25,0.0,0.0,0.0
Beja,2020-03-26,0.0,0.0,0.0
Beja,2020-03-27,0.0,0.0,0.0
Beja,2020-03-28,0.0,0.0,0.0
Beja,2020-03-29,1.0,0.0,0.0
Beja,2020-03-30,1.0,0.0,0.0
Beja,2020-03-31,1.0,0.0,0.0
Beja,2020-04-01,1.0,0.0,0.0
Beja,2020-04-02,1.0,0.0,0.0
Beja,2020-04-03,1.0,0.0,0.0
Beja,2020-04-04,2.0,0.0,0.0
Beja,2020-04-05,2.0,0.0,0.0
Beja,2020-04-06,2.0,20.0,0.0
Beja,2020-04-07,2.0,20.0,0.0
Beja,2020-04-08,2.0,20.0,0.0
Beja,2020-04-09,3.0,20.0,0.0
Beja,2020-04-10,3.0,20.0,0.0
Beja,2020-04-11,3.0,20.0,0.0
Beja,2020-04-12,3.0,20.0,0.0
Beja,2020-04-13,3.0,20.0,0.0
Beja,2020-04-14,3.0,20.0,0.0
Beja,2020-04-15,3.0,20.0,0.0
Beja,2020-04-16,3.0,20.0,0.0
Beja,2020-04-17,3.0,20.0,0.0
Beja,2020-04-18,3.0,20.0,0.0
Beja,2020-04-19,3.0,20.0,0.0
Beja,2020-04-20,3.0,20.0,0.0
Beja,2020-04-21,3.0,20.0,0.0
Beja,2020-04-22,3.0,20.0,0.0
Beja,2020-04-23,3.0,20.0,0.0
Beja,2020-04-24,3.0,20.0,0.0
Beja,2020-04-25,3.0,20.0,0.0
Beja,2020-04-26,3.0,20.0,0.0
Beja,2020-04-27,3.0,20.0,0.0
Beja,2020-04-28,3.0,20.0,0.0
Beja,2020-04-29,3.0,20.0,0.0
Beja,2020-04-30,3.0,20.0,0.0
Beja,2020-05-01,3.0,20.0,0.0
Beja,2020-05-02,3.0,20.0,0.0
Beja,2020-05-03,3.0,2.0,0.0
Beja,2020-05-04,3.0,2.0,0.0
Beja,2020-05-05,3.0,3.0,0.0
Beja,2020-05-06,3.0,3.0,0.0
Beja,2020-05-07,3.0,3.0,0.0
Beja,2020-05-08,4.0,3.0,0.0
Beja,2020-05-09,4.0,3.0,0.0
Beja,2020-05-10,4.0,3.0,0.0
Beja,2020-05-11,4.0,4.0,0.0
Beja,2020-05-12,4.0,3.0,0.0
Beja,2020-05-13,4.0,3.0,0.0
Beja,2020-05-14,4.0,3.0,0.0
Ben Arous,2020-03-02,0.0,0.0,0.0
Ben Arous,2020-03-03,0.0,0.0,0.0
Ben Arous,2020-03-04,0.0,0.0,0.0
Ben Arous,2020-03-05,0.0,0.0,0.0
Ben Arous,2020-03-06,0.0,0.0,0.0
Ben Arous,2020-03-07,0.0,0.0,0.0
Ben Arous,2020-03-08,0.0,0.0,0.0
Ben Arous,2020-03-09,0.0,0.0,0.0
Ben Arous,2020-03-10,0.0,0.0,0.0
Ben Arous,2020-03-11,0.0,0.0,0.0
Ben Arous,2020-03-12,0.0,0.0,0.0
Ben Arous,2020-03-13,0.0,0.0,0.0
Ben Arous,2020-03-14,0.0,0.0,0.0
